,carat,cut,color,clarity,depth,table,price,x,y,z,volume,ratio_xy
50177,0.55,Ideal,E,VS1,61.5,56.0,2220,5.26,5.29,3.24,90.154296,0.994328922495274
17689,1.3,Premium,D,SI2,60.2,59.0,7130,7.05,7.0,4.23,208.75050000000002,1.0071428571428571
38204,0.43,Premium,H,VS2,61.9,55.0,1016,4.95,4.8,3.02,71.7552,1.03125
1827,0.72,Very Good,F,VS1,62.1,59.0,3059,5.69,5.74,3.55,115.94513,0.9912891986062718
34544,0.43,Very Good,E,VS2,62.2,58.0,869,4.81,4.87,3.01,70.50834699999999,0.9876796714579055
43246,0.42,Ideal,E,VVS1,61.6,56.0,1400,4.81,4.84,2.97,69.142788,0.993801652892562
4654,1.12,Premium,I,SI2,61.2,58.0,3669,6.72,6.68,4.1,184.04735999999997,1.0059880239520957
3913,0.78,Premium,E,VS2,62.8,60.0,3494,5.86,5.79,3.66,124.18160400000001,1.0120898100172713
18975,1.59,Premium,J,VS2,62.6,59.0,7811,7.43,7.45,4.66,257.94731,0.9973154362416107
43764,0.41,Ideal,F,IF,61.4,58.0,1439,4.78,4.83,2.95,68.10783,0.989648033126294
24998,1.5,Premium,E,VS1,60.1,60.0,13513,7.42,7.48,4.48,248.64716800000005,0.9919786096256684
25493,2.01,Premium,F,SI2,62.4,58.0,14279,8.08,8.05,5.03,327.1713200000001,1.003726708074534
47775,0.51,Very Good,G,VVS2,63.3,58.0,1895,5.07,5.04,3.2,81.76896,1.005952380952381
38648,0.44,Premium,I,VS1,62.8,56.0,1040,4.88,4.83,3.05,71.88972,1.010351966873706
53621,0.3,Good,D,SI1,63.2,56.0,552,4.24,4.27,2.69,48.70191199999999,0.9929742388758783
33835,0.34,Ideal,G,VVS1,61.5,56.0,844,4.47,4.5,2.75,55.31625,0.9933333333333333
2013,0.78,Premium,D,SI1,61.8,59.0,3103,5.93,5.88,3.65,127.26966,1.0085034013605443
40594,0.28,Ideal,G,VS2,62.2,54.0,497,4.21,4.24,2.63,46.946552,0.9929245283018867
7230,0.9,Ideal,H,VS1,61.8,56.0,4194,6.18,6.24,3.84,148.082688,0.9903846153846153
16580,1.21,Ideal,H,SI1,60.3,60.0,6620,6.9,6.87,4.15,196.72245000000004,1.0043668122270744
42410,0.42,Ideal,G,IF,62.0,57.0,1310,4.82,4.8,2.98,68.94528,1.0041666666666669
52647,0.24,Very Good,E,VVS2,62.4,58.0,552,3.96,3.99,2.48,39.184992,0.9924812030075187
6862,0.81,Ideal,G,VVS2,61.7,55.1,4127,5.97,6.04,3.71,133.778148,0.9884105960264901
39642,0.41,Ideal,E,VVS2,62.3,58.0,1085,4.73,4.78,2.96,66.92382400000001,0.9895397489539749
42641,0.5,Ideal,H,VS2,61.2,56.0,1332,5.18,5.14,3.16,84.13563199999999,1.0077821011673151
21197,1.51,Very Good,E,SI2,63.1,61.0,9343,7.25,7.3,4.59,242.92575,0.9931506849315068
23617,1.13,Ideal,E,VVS1,61.5,56.0,11641,6.68,6.71,4.12,184.669936,0.9955290611028316
35846,0.4,Ideal,G,VVS2,62.6,53.0,917,4.72,4.77,2.97,66.867768,0.989517819706499
41223,0.43,Ideal,G,VVS1,62.0,55.0,1207,4.82,4.85,3.0,70.131,0.9938144329896909
6412,1.13,Premium,E,SI2,59.4,62.0,4040,6.83,6.78,4.04,187.081896,1.0073746312684366
220,0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,88.32146399999999,0.994413407821229
23886,1.52,Premium,H,VVS2,61.2,58.0,11979,7.48,7.41,4.56,252.74620800000002,1.00944669365722
25430,1.81,Very Good,I,VS1,59.9,61.0,14177,7.85,7.91,4.72,293.08132,0.9924146649810366
52471,0.96,Fair,J,SI1,67.3,56.0,2517,6.06,6.01,4.06,147.86763599999995,1.0083194675540765
2291,0.9,Very Good,H,SI2,59.2,61.0,3160,6.23,6.27,3.7,144.52977,0.9936204146730464
38858,0.4,Premium,G,VVS2,62.0,58.0,1050,4.74,4.68,2.92,64.77494399999999,1.012820512820513
43322,0.53,Fair,F,VS2,65.5,58.0,1402,5.09,5.03,3.31,84.74493700000001,1.0119284294234592
49397,0.5,Ideal,G,IF,61.5,56.0,2104,5.11,5.14,3.15,82.73601,0.9941634241245138
53696,0.75,Good,E,VS2,59.7,65.0,2717,5.85,5.8,3.48,118.07639999999999,1.0086206896551724
14508,1.09,Premium,H,VS1,60.2,59.0,5860,6.71,6.67,4.03,180.365471,1.0059970014992503
2345,0.83,Ideal,G,SI1,61.8,55.0,3171,6.05,6.09,3.75,138.16687499999998,0.993431855500821
3908,0.73,Ideal,F,VS1,61.4,55.0,3493,5.81,5.84,3.57,121.13152799999999,0.9948630136986301
23151,1.02,Premium,F,IF,62.5,58.0,11167,6.54,6.39,4.04,168.834024,1.023474178403756
16885,1.01,Very Good,D,VS2,62.9,58.0,6738,6.35,6.41,4.01,163.22103499999997,0.9906396255850233
21176,1.13,Ideal,G,VVS2,62.3,57.0,9333,6.62,6.66,4.14,182.52928799999998,0.993993993993994
9983,1.5,Fair,I,I1,69.7,56.0,4704,6.94,6.9,4.82,230.81052000000003,1.0057971014492755
41308,0.38,Ideal,F,IF,62.2,54.0,1212,4.64,4.69,2.9,63.10864,0.9893390191897653
20083,1.33,Ideal,H,VS1,59.3,57.0,8558,7.18,7.22,4.27,221.35509199999996,0.9944598337950138
36303,0.32,Premium,H,VVS1,61.5,59.0,936,4.41,4.37,2.7,52.03359000000001,1.0091533180778032
33640,0.38,Premium,G,VS1,61.9,59.0,833,4.63,4.67,2.88,62.271648,0.9914346895074947
24537,2.18,Good,H,SI1,63.8,57.0,12825,8.24,8.17,5.23,352.08778400000006,1.0085679314565483
14106,1.32,Ideal,I,SI2,61.7,55.0,5721,7.07,7.03,4.35,216.20413499999998,1.0056899004267426
51170,0.79,Good,H,SI2,59.2,58.0,2346,6.05,6.07,3.59,131.837365,0.9967051070840197
52741,0.81,Ideal,E,SI2,62.0,55.0,2559,6.0,5.96,3.71,132.6696,1.0067114093959733
7189,0.9,Good,I,VVS1,63.6,58.0,4187,6.1,6.14,3.89,145.69606,0.993485342019544
11928,1.24,Ideal,J,SI1,61.9,56.0,5125,6.95,6.88,4.28,204.65248000000003,1.0101744186046513
43524,0.51,Very Good,D,SI1,60.4,61.0,1425,5.09,5.14,3.09,80.84243399999998,0.9902723735408561
35778,0.4,Very Good,E,VS2,62.9,55.0,912,4.73,4.74,2.98,66.81219600000001,0.9978902953586498
13866,1.29,Ideal,J,VS2,60.9,58.0,5646,7.05,7.0,4.28,211.21800000000002,1.0071428571428571
39313,0.33,Premium,E,VS1,61.0,55.0,1069,4.51,4.47,2.74,55.237578,1.0089485458612975
39262,0.38,Ideal,E,VS1,61.6,56.0,1069,4.66,4.62,2.86,61.573511999999994,1.0086580086580086
13320,1.01,Very Good,E,SI1,62.9,58.0,5499,6.35,6.41,4.01,163.22103499999997,0.9906396255850233
45133,0.54,Very Good,F,VS1,60.0,59.0,1653,5.26,5.32,3.17,88.706744,0.9887218045112781
3067,0.81,Premium,G,VS1,62.1,58.0,3311,5.96,5.92,3.69,130.195008,1.0067567567567568
12491,1.02,Fair,F,SI1,64.8,59.0,5255,6.33,6.23,4.07,160.50411300000002,1.016051364365971
40762,0.42,Good,F,VVS1,61.2,64.0,1164,4.75,4.8,2.92,66.576,0.9895833333333334
15675,1.01,Very Good,F,VS2,60.8,58.0,6288,6.44,6.49,3.93,164.25670800000003,0.9922958397534669
45862,0.5,Premium,F,VS1,61.6,58.0,1715,5.11,5.06,3.13,80.931158,1.0098814229249014
50283,0.3,Very Good,H,VS1,62.3,56.0,541,4.29,4.32,2.68,49.66790400000001,0.9930555555555555
32816,0.34,Ideal,E,VS1,61.2,57.0,805,4.45,4.5,2.74,54.86850000000001,0.9888888888888889
36843,0.37,Premium,F,VS2,59.7,59.0,957,4.68,4.64,2.78,60.36825599999998,1.0086206896551724
